,Names,Date,Location,Notes,Link
0,HackED,Jan 7th - 8th        ,"
Alberta,
          Canada
","
Hybrid, In-Person Focus
",https://hacked.compeclub.com/
1,CruzHacks,Jan 13th - 15th        ,"
Santa Cruz,
          California
","
In-Person Only
",https://www.cruzhacks.com/
2,HackFRee,Jan 14th - 15th        ,"
Manalapan,
          New Jersey
","
In-Person Only
",http://www.hackfree.info/
3,nwHacks 2023 ,Jan 14th - 15th        ,"
Vancouver,
          Canada
","
In-Person Only
",https://www.nwhacks.io/
4,Rose Hack,Jan 14th - 15th        ,"
Riverside,
          California
","
In-Person Only
",https://rosehack.com
5,BoilerMake X,Jan 20th - 22nd        ,"
West Lafayette,
          Indiana
","
In-Person Only
",https://boilermake.org/
6,CivicHacks,Jan 20th - 22nd        ,"
North American Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8993-civichacks
7,HackFit 2,Jan 20th - 22nd        ,"
APAC Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8994-hackfit-2
8,ConUHacks VII,Jan 21st - 22nd        ,"
Montreal,
          Quebec
","
In-Person Only
",https://conuhacks.io/
9,Hack The League - Chapter 2,Jan 21st - 22nd        ,"
Pune,
          India
","
In-Person Only
",https://www.hacktheleague.com/
10,Hack-commerce,Jan 27th - 29th        ,"
APAC Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8992-hack-commerce
11,Hackrithmitic 2,Jan 27th - 29th        ,"
North American Timezone,
          Online
","
Digital Only
",https://organize.mlh.io/participants/events/8991-hackrithmitic-2
12,Hoya Hacks,Jan 27th - 29th        ,"
Washington,
          DC
","
Hybrid, In-Person Focus
",https://hoyahacks.georgetown.domains/
13,QHacks,Jan 27th - 29th        ,"
Ontario,
          Canada
","
In-Person Only
",https://qhacks.io/
14,QWER Hacks,Jan 27th - 29th        ,"
Los Angeles,
          California
","
In-Person Only
",https://qwerhacks.com/
15,[email protected],Jan 28th - 29th        ,"
Providence,
          Rhode Island
","
In-Person Only
",https://2023.hackatbrown.org
16,hackTAMS,Jan 28th - 29th        ,"
Denton,
          Texas
","
Hybrid, In-Person Focus
",https://2023.hacktams.org/
17,McHacks,Jan 28th - 29th        ,"
Montreal,
          Quebec
","
In-Person Only
",https://www.mchacks.ca/
18,SpartaHack,Jan 28th - 29th        ,"
East Lansing,
          MI
","
In-Person Only
",http://www.spartahack.com/
19,TAMUhack,Jan 28th - 29th        ,"
College Station,
          Texas
","
In-Person Only
",http://tamuhack.com/
